['gcn', 'mean', 'relu', 4, 8, 'gcn', 'mlp', 'sigmoid', 4, 7],-0.4592,0.318
['gat', 'sum', 'relu', 2, 8, 'linear', 'mlp', 'tanh', 2, 7],0.5,0.69
['linear', 'mean', 'relu6', 16, 8, 'cos', 'mlp', 'linear', 6, 7],-0.05520000000000003,0.722
['gat', 'sum', 'leaky_relu', 4, 16, 'cos', 'max', 'relu6', 16, 7],-0.5,0.122
['gat_sym', 'sum', 'linear', 6, 256, 'generalized_linear', 'mean', 'linear', 2, 7],-0.005999999999999894,0.684
['linear', 'max', 'linear', 2, 128, 'gat_sym', 'mean', 'leaky_relu', 4, 7],-0.5,0.084
['linear', 'mean', 'relu', 1, 8, 'gcn', 'sum', 'relu', 2, 7],-0.5,0.188
['linear', 'mlp', 'tanh', 2, 128, 'const', 'mlp', 'relu', 16, 7],-0.03920000000000001,0.738
['gat_sym', 'max', 'elu', 8, 64, 'linear', 'mean', 'tanh', 6, 7],-0.5,0.202
['gat_sym', 'mlp', 'softplus', 2, 32, 'const', 'max', 'leaky_relu', 16, 7],-0.23319999999999996,0.544
['const', 'mean', 'elu', 2, 64, 'linear', 'sum', 'softplus', 1, 7],0.00880000000000003,0.786
['cos', 'max', 'tanh', 4, 256, 'linear', 'mean', 'elu', 6, 7],-0.07300000000000006,0.614
['const', 'sum', 'relu', 16, 128, 'gat_sym', 'mlp', 'sigmoid', 4, 7],0.10533333333333339,0.768
['const', 'sum', 'relu6', 1, 128, 'generalized_linear', 'mlp', 'sigmoid', 1, 7],0.10300000000000009,0.792
['gat', 'sum', 'linear', 2, 8, 'generalized_linear', 'mlp', 'leaky_relu', 1, 7],0.02639999999999998,0.736
['gcn', 'mlp', 'tanh', 1, 32, 'gcn', 'mean', 'leaky_relu', 2, 7],-0.03400000000000003,0.68
['gat_sym', 'mlp', 'elu', 1, 256, 'gcn', 'mlp', 'sigmoid', 2, 7],-0.38114285714285717,0.328
['const', 'mean', 'relu', 2, 32, 'const', 'mean', 'elu', 8, 7],0.07250000000000001,0.734
['gat', 'max', 'sigmoid', 6, 256, 'cos', 'mean', 'sigmoid', 2, 7],-0.5,0.13
['gat', 'max', 'elu', 6, 4, 'cos', 'max', 'tanh', 6, 7],-0.5,0.118
['generalized_linear', 'max', 'relu', 4, 64, 'gcn', 'mean', 'sigmoid', 2, 7],-0.5,0.132
['gcn', 'mean', 'relu6', 16, 16, 'gcn', 'mlp', 'softplus', 8, 7],-0.04580000000000006,0.734
['gat', 'mlp', 'leaky_relu', 8, 16, 'cos', 'mlp', 'elu', 2, 7],-0.027800000000000047,0.752
['cos', 'sum', 'linear', 1, 4, 'linear', 'max', 'leaky_relu', 16, 7],-0.5,0.114
['gcn', 'sum', 'tanh', 2, 16, 'gcn', 'mean', 'sigmoid', 16, 7],-0.5,0.156
['cos', 'mlp', 'softplus', 1, 16, 'linear', 'mean', 'leaky_relu', 4, 7],-0.5,0.118
['const', 'mlp', 'leaky_relu', 1, 256, 'gat', 'mean', 'linear', 8, 7],0.10219999999999996,0.718
['linear', 'mlp', 'relu6', 4, 128, 'generalized_linear', 'mean', 'relu6', 1, 7],-0.27780000000000005,0.502
['generalized_linear', 'sum', 'relu', 16, 32, 'gat', 'mean', 'relu', 1, 7],-0.20440000000000014,0.47
['cos', 'max', 'softplus', 6, 4, 'const', 'max', 'softplus', 4, 7],-0.5,0.058
['linear', 'mean', 'linear', 6, 64, 'generalized_linear', 'sum', 'softplus', 1, 7],-0.023800000000000043,0.756
['cos', 'mlp', 'tanh', 6, 4, 'gat_sym', 'sum', 'tanh', 16, 7],-0.013800000000000034,0.766
['const', 'mean', 'relu6', 2, 256, 'cos', 'max', 'linear', 8, 7],0.01539999999999997,0.704
['generalized_linear', 'sum', 'relu', 16, 16, 'generalized_linear', 'max', 'linear', 8, 7],-0.2822,0.498
['gcn', 'sum', 'linear', 1, 64, 'cos', 'mlp', 'softplus', 16, 7],-0.08199999999999996,0.63
['cos', 'mlp', 'relu', 16, 16, 'const', 'mean', 'leaky_relu', 8, 7],-0.022199999999999998,0.758
